2026-09-14 17:04:59 [INFO] Logging to logs/exp_3.log
2026-09-14 17:04:59 [INFO] Loaded 624 generated negatives from results/ex3-negatives/dpo_negatives_cbtbench.csv
2026-09-14 17:04:59 [INFO] Loading judge model: meta-llama/Llama-3.2-3B-Instruct
2026-09-14 17:04:59 [INFO] HTTP Request: HEAD https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct/resolve/main/config.json "HTTP/1.1 200 OK"
2026-09-14 17:05:02 [INFO] HTTP Request: HEAD https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct/resolve/main/tokenizer_config.json "HTTP/1.1 200 OK"
2026-09-14 17:05:02 [INFO] HTTP Request: GET https://huggingface.co/api/models/meta-llama/Llama-3.2-3B-Instruct/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-09-14 17:05:02 [INFO] HTTP Request: GET https://huggingface.co/api/models/meta-llama/Llama-3.2-3B-Instruct/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-09-14 17:05:04 [INFO] HTTP Request: GET https://huggingface.co/api/models/meta-llama/Llama-3.2-3B-Instruct "HTTP/1.1 200 OK"
2026-09-14 17:05:04 [INFO] HTTP Request: HEAD https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct/resolve/main/config.json "HTTP/1.1 200 OK"
2026-09-14 17:05:05 [INFO] HTTP Request: HEAD https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct/resolve/main/config.json "HTTP/1.1 200 OK"
2026-09-14 17:05:27 [INFO] HTTP Request: HEAD https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct/resolve/main/generation_config.json "HTTP/1.1 200 OK"
2026-09-14 17:05:37 [INFO] [judge] ex01_1_b_1 (sq_ablation): valid=True
2026-09-14 17:05:40 [INFO] [judge] ex01_1_b_2 (sq_ablation): valid=True
2026-09-14 17:05:42 [INFO] [judge] ex01_1_b_3 (sq_ablation): valid=True
2026-09-14 17:05:46 [INFO] [judge] ex01_1_b_4 (sq_ablation): valid=True
2026-09-14 17:05:49 [INFO] [judge] ex01_1_m_1 (sq_ablation): valid=True
2026-09-14 17:05:52 [INFO] [judge] ex01_1_m_2 (sq_ablation): valid=True
2026-09-14 17:05:54 [INFO] [judge] ex01_1_m_3 (sq_ablation): valid=True
2026-09-14 17:05:58 [INFO] [judge] ex01_1_m_4 (sq_ablation): valid=True
2026-09-14 17:06:01 [INFO] [judge] ex01_1_m_5 (sq_ablation): valid=True
2026-09-14 17:06:04 [INFO] [judge] ex01_1_m_6 (sq_ablation): valid=True
2026-09-14 17:06:09 [INFO] [judge] ex01_1_a_1 (sq_ablation): valid=True
2026-09-14 17:06:13 [INFO] [judge] ex01_1_a_2 (sq_ablation): valid=True
2026-09-14 17:06:16 [INFO] [judge] ex01_1_a_3 (sq_ablation): valid=True
2026-09-14 17:06:19 [INFO] [judge] ex01_1_a_4 (sq_ablation): valid=True
2026-09-14 17:06:21 [INFO] [judge] ex02_2_b_1 (sq_ablation): valid=True
2026-09-14 17:06:24 [INFO] [judge] ex02_2_b_2 (sq_ablation): valid=True
2026-09-14 17:06:26 [INFO] [judge] ex02_2_b_3 (sq_ablation): valid=True
2026-09-14 17:06:29 [INFO] [judge] ex02_2_b_4 (sq_ablation): valid=True
